T03,Population growth and indicators of fertility and mortality,,,,,
30,Eastern Asia,2020,Life expectancy at birth for males (years),76.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
30,Eastern Asia,2020,Life expectancy at birth for females (years),82.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
62,South-central Asia,2020,Population annual rate of increase (percent),1.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
62,South-central Asia,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
62,South-central Asia,2020,"Infant mortality for both sexes (per 1,000 live births)",30.4,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
62,South-central Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",129,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
62,South-central Asia,2020,Life expectancy at birth for both sexes (years),69.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
62,South-central Asia,2020,Life expectancy at birth for males (years),68,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
62,South-central Asia,2020,Life expectancy at birth for females (years),71.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
35,South-eastern Asia,2020,Population annual rate of increase (percent),0.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
35,South-eastern Asia,2020,Total fertility rate (children per women),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
35,South-eastern Asia,2020,"Infant mortality for both sexes (per 1,000 live births)",19.8,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
35,South-eastern Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",134,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
35,South-eastern Asia,2020,Life expectancy at birth for both sexes (years),71.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
35,South-eastern Asia,2020,Life expectancy at birth for males (years),68.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
35,South-eastern Asia,2020,Life expectancy at birth for females (years),74.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
34,Southern Asia,2020,Population annual rate of increase (percent),1.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
34,Southern Asia,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
34,Southern Asia,2020,"Infant mortality for both sexes (per 1,000 live births)",31.2,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
34,Southern Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",134,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
34,Southern Asia,2020,Life expectancy at birth for both sexes (years),69.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
34,Southern Asia,2020,Life expectancy at birth for males (years),68.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
34,Southern Asia,2020,Life expectancy at birth for females (years),71.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
